syls,freqs
이,997684
다,768317
의,760722
는,676515
에,627333
을,546243
하,522169
한,470453
고,457229
가,444780
로,425251
기,422263
지,394335
사,338369
서,337438
은,311376
도,308955
를,300365
대,298147
정,273460
리,255872
자,255148
수,254804
시,253080
으,246428
있,245164
어,240951
구,229632
인,228483
나,228153
제,223980
국,212724
과,209470
그,208329
해,205921
전,199889
부,188768
것,182105
일,181719
적,180659
아,180612
연,178965
라,177564
성,177476
들,167937
상,163622
원,161526
여,160205
보,159703
장,148406
화,144438
주,141423
소,133720
동,132904
공,130387
조,128791
스,128014
경,126218
계,125841
용,121744
위,121570
우,121302
게,120591
학,120517
만,118495
개,115269
면,112714
되,112203
관,110937
문,110569
유,109371
선,105730
중,103639
산,101919
치,100947
신,100765
회,100130
발,100101
비,98382
분,96897
생,93600
내,92957
방,92209
무,91601
와,90523
세,90453
니,87535
물,87321
등,86674
할,85680
실,84453
통,83984
었,82308
미,82301
모,81838
러,81439
업,81327
교,80246
체,80048
진,76522
재,75723
안,75312
야,74076
명,71530
민,71043
간,70882
며,70546
단,70500
당,69539
요,69066
년,68272
거,68141
마,68079
금,66513
된,66196
오,66060
본,64807
했,64453
법,64451
합,63959
식,63810
없,63710
각,62763
였,62618
결,60853
영,60754
행,60686
때,60500
데,60466
력,60342
반,60054
설,58711
터,58676
려,57929
속,57361
운,56311
양,54808
현,54765
차,54638
종,54433
말,52668
형,52341
음,52135
술,51850
석,50456
바,50049
입,49938
역,49241
임,48799
않,48663
작,48405
히,47948
및,47192
건,46182
질,45465
표,45095
외,44467
강,43832
두,43777
까,43252
백,42953
권,42707
트,42309
르,41865
직,41744
불,41579
호,41396
심,41348
따,41001
처,40970
타,40966
태,40770
출,40058
파,39471
천,39186
남,38751
람,38662
던,38524
점,38343
감,37840
저,37483
난,37262
후,36817
포,36505
또,36418
특,36356
최,35863
크,35717
달,35702
예,35605
같,35561
능,35430
변,34716
북,34607
드,34506
프,34481
래,34423
책,34101
김,33988
노,33637
함,33578
박,33302
배,33251
추,32564
환,32362
열,31884
평,31562
증,31511
매,31206
울,31177
품,31172
약,31141
집,31018
군,30876
향,30772
근,30461
알,30423
초,30323
온,30303
급,30243
목,30168
더,30047
료,29995
른,29949
론,29074
확,28515
준,28449
토,27900
록,27838
활,27752
련,27574
격,27541
월,27352
광,27140
판,26695
키,26520
청,26462
습,26372
험,25834
번,25687
절,25378
류,25205
규,24777
루,24605
복,24386
량,24384
많,24098
피,24041
새,24014
레,23919
응,23810
받,23396
령,23295
란,23243
날,23186
편,23161
못,22778
항,22624
살,22488
았,22160
검,22141
측,22035
필,21954
망,21498
독,21324
린,21231
효,21228
립,21200
언,21047
육,20880
올,20711
축,20684
뉴,20300
느,20163
투,20080
병,19888
런,19761
름,19622
철,19595
협,19327
디,19274
든,19185
총,19142
될,19069
극,18914
담,18504
족,18457
억,18277
버,18048
순,17761
농,17598
별,17535
삼,17441
쟁,17339
율,17335
범,17277
길,17077
늘,17052
템,17041
져,17028
존,16981
접,16924
색,16909
너,16882
황,16861
막,16415
앞,16213
승,15993
침,15896
럼,15657
충,15535
돌,15265
찰,15195
림,15049
써,14962
송,14822
카,14660
손,14659
악,14572
씨,14473
코,14320
높,14200
참,14153
탄,14146
채,14096
렇,13870
창,13727
견,13571
쓰,13499
택,13209
잘,13203
겠,13156
줄,13063
폭,13022
워,12993
잡,12974
획,12816
균,12808
밀,12694
논,12610
누,12494
머,12389
겨,12280
갖,12266
염,12038
갈,12034
압,11953
쪽,11939
벌,11864
착,11826
완,11749
랑,11742
께,11585
희,11479
걸,11455
층,11387
큰,11337
친,11228
밝,10820
취,10807
액,10744
핵,10742
놓,10739
컴,10718
맞,10712
테,10687
졌,10687
허,10625
메,10594
네,10542
쳐,10424
왔,10359
베,10331
곡,10235
움,10226
혁,10201
왕,10143
뿐,10083
퓨,9668
글,9659
탈,9614
풍,9596
곳,9537
켜,9490
눈,9470
락,9450
뒤,9446
암,9387
좋,9290
밖,9175
애,9157
얼,9009
귀,8848
먹,8757
혼,8724
돼,8716
덕,8639
끝,8626
촉,8597
긴,8531
얻,8501
혀,8460
패,8430
폐,8423
죽,8321
럽,8295
째,8212
엔,8211
례,8209
홍,8207
됐,8150
티,8140
볼,8130
익,8122
득,8075
떤,7956
돈,7919
헌,7849
힘,7838
페,7777
찾,7768
윤,7581
끼,7553
융,7493
뜻,7405
델,7372
듯,7341
몇,7328
므,7286
났,7131
봉,7104
죄,7068
욱,7043
닌,7034
냐,7027
념,6953
훈,6695
님,6673
징,6620
둘,6566
풀,6506
엄,6490
웨,6480
넘,6471
률,6437
브,6435
떻,6430
즘,6411
칼,6405
커,6364
떠,6201
슬,6143
골,6060
틀,6027
빠,5968
값,5952
굴,5946
몰,5936
땅,5896
칙,5895
찬,5862
섬,5859
엇,5853
퇴,5837
몸,5827
탁,5816
녀,5778
케,5777
괴,5767
플,5762
봅,5742
팔,5742
싸,5729
렸,5729
앙,5668
객,5583
욕,5563
답,5508
롯,5507
숙,5497
릴,5480
략,5478
퍼,5423
즈,5383
싶,5368
왜,5359
곧,5351
흥,5271
좌,5234
꾸,5224
큼,5162
깨,5090
클,5068
떨,5032
킨,5022
센,4985
혹,4961
낮,4917
혔,4904
냉,4873
팀,4865
낸,4851
궁,4819
붙,4802
흡,4795
탕,4783
첫,4748
램,4741
옥,4739
척,4703
첨,4702
잠,4697
빈,4668
벽,4657
놀,4638
먼,4627
흐,4622
짐,4614
혈,4587
즉,4554
칠,4502
십,4406
널,4363
꽃,4354
픽,4301
턴,4271
섭,4228
닐,4215
션,4191
휴,4165
잔,4083
링,4072
씩,4061
갔,4006
곤,3944
휘,3931
끌,3892
짓,3879
킬,3853
넓,3755
맥,3741
믿,3737
칭,3704
납,3690
낙,3651
웃,3645
깊,3643
멀,3618
탐,3596
렬,3590
옛,3590
쇄,3552
렵,3519
갑,3518
넣,3513
쉽,3507
랜,3505
촌,3468
둔,3467
슨,3387
흔,3358
숨,3275
뢰,3223
녹,3192
뿌,3189
뛰,3179
혜,3161
묘,3078
짜,3075
펴,3071
읍,3066
헤,3057
쌀,3037
뇌,3031
콘,3025
밤,3000
켰,2992
룹,2970
춘,2955
맡,2954
텔,2948
빛,2946
벼,2932
읽,2926
벗,2911
블,2909
빨,2889
싱,2865
맹,2845
흘,2837
폴,2828
힌,2820
콜,2811
졸,2748
뜨,2708
듣,2700
쉬,2680
냈,2657
쿠,2649
딸,2621
잎,2609
쇠,2592
닥,2590
흑,2582
엘,2579
둥,2528
캐,2518
젊,2516
롭,2508
앉,2499
밑,2496
렌,2492
깔,2488
콩,2486
셈,2461
륙,2436
옷,2351
빌,2348
톱,2347
좀,2341
웅,2306
쌍,2303
묻,2288
웠,2284
츠,2281
잃,2275
벨,2275
엽,2255
됨,2249
쯤,2248
렀,2233
멸,2229
찍,2215
쳤,2214
혐,2213
솔,2183
푸,2181
첩,2174
슴,2169
붕,2146
잇,2127
랐,2127
닭,2126
빚,2121
묵,2068
톤,2046
끄,2041
찌,2033
꼭,2017
즐,2015
쓸,2008
뒷,2006
듭,1984
슈,1975
럴,1968
겪,1967
맛,1961
낼,1950
옮,1946
탑,1942
쓴,1933
몽,1905
겼,1894
빼,1894
핀,1883
룩,1873
슷,1857
늄,1850
홀,1840
꺼,1839
셨,1830
랄,1825
짝,1823
냥,1822
걱,1821
릇,1813
듬,1800
늦,1789
낭,1778
굳,1748
컨,1720
삭,1715
튼,1713
꼬,1708
쥐,1689
핑,1689
랍,1684
밥,1683
꿈,1639
삶,1629
섯,1612
낌,1612
팅,1598
씀,1593
겁,1575
봄,1574
겸,1569
긍,1563
쌓,1557
팽,1555
섰,1545
낳,1540
싼,1536
똑,1521
룡,1508
털,1503
숭,1490
컬,1489
곱,1483
덤,1476
셀,1473
끊,1463
짧,1449
멘,1444
끗,1441
맺,1438
렴,1424
옳,1423
흰,1421
럭,1415
뽑,1407
뮬,1404
씬,1400
얘,1397
젠,1393
끔,1390
맨,1387
뀌,1383
덜,1380
믹,1377
멍,1371
밭,1367
뚜,1363
텐,1356
횡,1347
끈,1334
잉,1331
잊,1320
봐,1312
꼴,1303
훨,1290
틸,1285
흉,1279
좁,1279
닫,1278
앗,1276
옆,1275
빙,1274
띠,1272
놈,1265
춤,1265
캠,1247
숫,1241
옹,1235
겹,1220
셋,1211
몬,1202
괄,1201
롤,1200
텍,1187
붉,1184
덩,1182
셔,1178
낱,1175
흙,1167
젖,1139
썼,1125
궤,1124
탓,1105
뷰,1102
꾼,1099
팩,1099
렷,1097
덴,1096
뼈,1095
랫,1094
겉,1084
쾌,1081
엑,1079
엉,1071
춰,1063
듈,1057
눌,1056
릭,1054
덮,1051
벤,1047
젤,1046
쁜,1042
섞,1037
륨,1033
칸,1029
딩,1013
떼,1012
냄,988
깃,987
닷,982
룬,978
긋,972
훌,969
릉,966
틱,964
묶,961
쇼,959
꼽,958
녕,957
곰,954
펼,953
힐,951
쫓,951
폰,950
쏟,950
렁,945
쁘,943
퀴,942
껴,942
칩,937
덧,935
틈,935
륭,933
톨,932
룰,930
갱,928
옐,924
둑,923
뤄,922
롱,917
걷,913
딱,905
몫,903
펜,902
빗,899
렉,899
닉,889
쩌,885
떡,884
훼,882
굽,881
밟,880
곽,880
돋,873
왼,853
닝,845
펄,844
댐,833
싫,825
윈,815
뭐,809
늬,808
겐,805
밍,798
젓,798
틴,794
넷,790
컫,787
돕,787
